trp_multiplayer_profile_troop_male|multiplayer profile troop male
trp_multiplayer_profile_troop_male_pl|multiplayer profile troop male
trp_multiplayer_profile_troop_female|multiplayer profile troop female
trp_multiplayer_profile_troop_female_pl|multiplayer profile troop female
trp_temp_troop|Temp Troop
trp_temp_troop_pl|Temp Troop
trp_find_item_cheat|find item cheat
trp_find_item_cheat_pl|find item cheat
trp_random_town_sequence|Random Town Sequence
trp_random_town_sequence_pl|Random Town Sequence
trp_tournament_participants|Tournament Participants
trp_tournament_participants_pl|Tournament Participants
trp_tutorial_maceman|Maceman
trp_tutorial_maceman_pl|Maceman
trp_tutorial_archer|Archer
trp_tutorial_archer_pl|Archer
trp_tutorial_swordsman|Swordsman
trp_tutorial_swordsman_pl|Swordsman
trp_novice_fighter|Novice Fighter
trp_novice_fighter_pl|Novice Fighters
trp_regular_fighter|Regular Fighter
trp_regular_fighter_pl|Regular Fighters
trp_veteran_fighter|Veteran Fighter
trp_veteran_fighter_pl|Veteran Fighters
trp_champion_fighter|Champion Fighter
trp_champion_fighter_pl|Champion Fighters
trp_arena_training_fighter_1|Novice Fighter
trp_arena_training_fighter_1_pl|Novice Fighters
trp_arena_training_fighter_2|Novice Fighter
trp_arena_training_fighter_2_pl|Novice Fighters
trp_arena_training_fighter_3|Regular Fighter
trp_arena_training_fighter_3_pl|Regular Fighters
trp_arena_training_fighter_4|Regular Fighter
trp_arena_training_fighter_4_pl|Regular Fighters
trp_arena_training_fighter_5|Regular Fighter
trp_arena_training_fighter_5_pl|Regular Fighters
trp_arena_training_fighter_6|Veteran Fighter
trp_arena_training_fighter_6_pl|Veteran Fighters
trp_arena_training_fighter_7|Veteran Fighter
trp_arena_training_fighter_7_pl|Veteran Fighters
trp_arena_training_fighter_8|Veteran Fighter
trp_arena_training_fighter_8_pl|Veteran Fighters
trp_arena_training_fighter_9|Champion Fighter
trp_arena_training_fighter_9_pl|Champion Fighters
trp_arena_training_fighter_10|Champion Fighter
trp_arena_training_fighter_10_pl|Champion Fighters
trp_cattle|Cattle
trp_cattle_pl|Cattle
trp_farmer|Freeman
trp_farmer_pl|Freemen
trp_mercenary_village_footman|Mercenary Villager
trp_mercenary_village_footman_pl|Mercenary Villagers
trp_mercenary_village_skirmisher|Untrained Archer
trp_mercenary_village_skirmisher_pl|Untrained Archers
trp_mercenary_town_recruit|Free Townsman
trp_mercenary_town_recruit_pl|Free Townsmen
trp_mercenary_town_footman|Mercenary Footman
trp_mercenary_town_footman_pl|Mercenary Footmen
trp_mercenary_town_skirmisher|Untrained Crossbowman
trp_mercenary_town_skirmisher_pl|Untrained Crossbowmen
trp_mercenary_veteran_swordsman|Mercenary Swordsman
trp_mercenary_veteran_swordsman_pl|Mercenary Swordsmen
trp_mercenary_veteran_billman|Mercenary Guisarmer
trp_mercenary_veteran_billman_pl|Mercenary Guisarmers
trp_mercenary_veteran_spearman|Mercenary Spearman
trp_mercenary_veteran_spearman_pl|Mercenary Spearmen
trp_mercenary_veteran_crossbowman|Mercenary Crossbowman
trp_mercenary_veteran_crossbowman_pl|Mercenary Crossbowmen
trp_mercenary_veteran_archer|Mercenary Archer
trp_mercenary_veteran_archer_pl|Mercenary Archers
trp_mercenary_bills_sergeant|Mercenary Veteran Guisarmer
trp_mercenary_bills_sergeant_pl|Mercenary Veteran Guisarmers
trp_mercenary_swords_sergeant|Mercenary Veteran Swordsman
trp_mercenary_swords_sergeant_pl|Mercenary Veteran Swordsmen
trp_mercenary_spears_sergeant|Mercenary Veteran Spearman
trp_mercenary_spears_sergeant_pl|Mercenary Veteran Spearmen
trp_mercenary_crossbows_sergeant|Mercenary Veteran Crossbowman
trp_mercenary_crossbows_sergeant_pl|Mercenary Veteran Crossbowmen
trp_mercenary_bows_sergeant|Mercenary Veteran Archer
trp_mercenary_bows_sergeant_pl|Mercenary Veteran Archers
trp_mercenary_light_cavalry|Mercenary Auxiliary Horseman
trp_mercenary_light_cavalry_pl|Mercenary Auxiliary Horsemen
trp_mercenary_medium_cavalry|Mercenary Man-at-arms
trp_mercenary_medium_cavalry_pl|Mercenary Men-at-arms
